url,dispositivo,score,fcp_chrux (ms),fcp_chrux_score,fid_chrux (ms),fid_chrux_score,lcp_chrux (ms),lcp_chrux_score,cls_chrux,cls_chrux_score,fcp_lighthouse (ms),fcp_lighthouse_score,lcp_lighthouse (ms),lcp_lighthouse_score,cls_lighthouse,cls_lighthouse_score,max_potential_fid (ms),max_potential_fid_score,tbt (ms),tbt_score,speed_index (ms),speed_index_score,tti (ms),tti_score,total_size (KB),total,js_size (KB),js,fonts_size (KB),fonts,img_size (KB),img,others_size (KB),others,html_size (KB),html,css_size (KB),css,media_size (KB),media,third_party_size (KB),third_party
https://www.bcr.ro/ro/business/general/conturi-si-servicii/internet-banking/george,desktop,0.93,2615,AVERAGE,4,FAST,3815,AVERAGE,0.0,FAST,780.0,0.96,1457.5,0.82,0.003,1.0,57,1.0,3.5,1.0,1734.5,0.74,1237.0,1.0,876.74,92,439.82,51,275.06,6,85.46,21,21.01,10,37.11,1,18.28,3,0.0,0,839.63,91
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor,mobile,0.71,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3278.0,0.41,4069.0,0.48,0.025,1.0,260,0.47,305.0,0.79,3335.9,0.91,5652.5,0.69,708.87,64,340.54,30,229.28,5,58.43,14,36.54,11,25.82,1,18.28,3,0.0,0,662.9,62
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor,desktop,0.92,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,775.0,0.96,1510.0,0.8,0.034,1.0,65,1.0,9.0,1.0,1856.5,0.69,1179.0,1.0,794.4,87,455.3,52,229.28,5,44.65,16,21.04,10,25.84,1,18.28,3,0.0,0,768.55,86
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor/riscul-valutar,mobile,0.26,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3510.0,0.35,7195.5,0.05,0.436,0.22,284,0.4,1325.0,0.18,4285.7,0.76,7065.0,0.53,848.91,82,420.14,46,275.06,6,71.98,15,36.54,11,26.92,1,18.28,3,0.0,0,801.81,80
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor/riscul-valutar,desktop,0.83,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,780.0,0.96,1549.0,0.79,0.312,0.38,81,0.99,57.0,1.0,1660.8,0.77,1500.5,0.99,871.53,96,489.65,59,229.28,5,86.36,18,21.04,10,26.92,1,18.28,3,0.0,0,844.6,95
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor/riscuri-comerciale,mobile,0.63,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2610.0,0.64,6135.0,0.12,0.017,1.0,181,0.74,316.0,0.77,3536.8,0.88,5678.5,0.69,781.67,69,344.23,32,275.06,6,80.78,16,36.54,11,26.78,1,18.28,3,0.0,0,734.73,67
https://www.bcr.ro/ro/business/general/conturi-si-servicii/managementul-riscurilor/riscuri-comerciale,desktop,0.84,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,820.0,0.94,1555.5,0.79,0.255,0.49,74,0.99,47.5,1.0,1608.4,0.79,1549.0,0.99,911.48,94,459.0,54,275.06,6,111.32,20,21.04,10,26.78,1,18.28,3,0.0,0,884.7,93
https://www.bcr.ro/ro/business/general/conturi-si-servicii/plati-digitale,mobile,0.67,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3305.0,0.4,4273.0,0.43,0.0,1.0,216,0.61,378.0,0.71,3305.0,0.91,5707.0,0.68,704.95,65,330.16,29,218.75,5,74.38,16,36.54,11,26.83,1,18.28,3,0.0,0,657.93,63
https://www.bcr.ro/ro/business/general/conturi-si-servicii/plati-digitale,desktop,0.54,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,780.0,0.96,1872.5,0.68,0.005,1.0,496,0.09,1306.5,0.02,2533.5,0.41,3017.0,0.8,774.99,82,412.34,46,229.28,5,67.23,17,21.04,10,26.83,1,18.28,3,0.0,0,748.16,81
https://www.bcr.ro/ro/business/general/conturi-si-servicii/servicii-conexe,mobile,0.67,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2910.0,0.53,5792.5,0.16,0.012,1.0,171,0.77,213.5,0.89,3674.0,0.86,5435.0,0.72,712.33,68,335.08,32,218.76,5,76.65,16,36.54,11,27.02,1,18.28,3,0.0,0,665.13,66
https://www.bcr.ro/ro/business/general/conturi-si-servicii/servicii-conexe,desktop,0.93,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,740.0,0.97,1480.0,0.81,0.001,1.0,80,0.99,28.0,1.0,1660.8,0.77,1228.0,1.0,803.1,87,429.37,51,229.28,5,78.13,17,21.04,10,27.0,1,18.28,3,0.0,0,776.1,86
https://www.bcr.ro/ro/business/general/conturi-si-servicii/solutii-de-plata-si-colectare,mobile,0.61,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3286.0,0.41,5860.5,0.15,0.0,1.0,203,0.66,347.5,0.74,3706.3,0.86,5617.0,0.7,714.86,68,335.09,32,218.76,5,75.5,16,36.54,11,30.69,1,18.28,3,0.0,0,664.01,66
https://www.bcr.ro/ro/business/general/conturi-si-servicii/solutii-de-plata-si-colectare,desktop,0.93,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,700.0,0.98,1500.0,0.81,0.007,1.0,61,1.0,8.5,1.0,1704.6,0.75,1222.0,1.0,871.11,86,417.28,49,229.28,5,154.52,18,21.04,10,30.72,1,18.28,3,0.0,0,840.39,85
https://www.bcr.ro/ro/business/general/conturi-si-servicii/trade-finance,mobile,0.31,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3360.0,0.39,6980.0,0.06,0.0,1.0,565,0.06,1904.5,0.09,7644.1,0.26,7147.5,0.52,718.37,71,353.83,35,218.76,5,65.61,17,32.38,10,29.51,1,18.28,3,0.0,0,668.7,69
https://www.bcr.ro/ro/business/general/conturi-si-servicii/trade-finance,desktop,0.73,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,742.0,0.97,1718.0,0.73,0.019,1.0,172,0.77,347.0,0.51,2205.3,0.54,1766.5,0.98,825.06,93,431.47,51,229.28,5,95.47,23,21.04,10,29.51,1,18.28,3,0.0,0,795.54,92
https://www.bcr.ro/ro/business/general/finantare,mobile,0.71,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2910.0,0.53,3660.0,0.6,0.0,1.0,195,0.69,349.5,0.74,4994.2,0.64,5638.5,0.69,646.81,65,335.38,32,172.97,4,58.43,14,36.54,11,25.22,1,18.28,3,0.0,0,601.44,63
https://www.bcr.ro/ro/business/general/finantare,desktop,0.94,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,740.0,0.97,1148.0,0.91,0.001,1.0,82,0.99,56.5,1.0,1804.1,0.71,1403.5,0.99,760.92,82,424.37,48,229.28,5,42.73,15,21.04,10,25.22,1,18.28,3,0.0,0,735.7,81
https://www.bcr.ro/ro/business/general/finantare/programe-speciale-de-finantare,mobile,0.37,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,3210.0,0.43,6932.5,0.07,0.0,1.0,423,0.15,1625.0,0.12,4645.0,0.7,7031.0,0.53,720.24,67,335.09,32,218.76,5,83.54,15,36.54,11,28.04,1,18.28,3,0.0,0,672.05,65
https://www.bcr.ro/ro/business/general/finantare/programe-speciale-de-finantare,desktop,0.44,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,940.5,0.9,2609.5,0.44,0.001,1.0,284,0.4,1308.5,0.02,3682.0,0.14,3693.5,0.66,945.24,86,417.28,49,275.06,6,185.54,17,21.04,10,28.04,1,18.28,3,0.0,0,917.2,85
https://www.bcr.ro/ro/business/general/finantare/supply-chain-finance/factoring,mobile,0.56,1665,FAST,18,FAST,2863,AVERAGE,0.1,FAST,2910.0,0.53,6060.0,0.13,0.001,1.0,271,0.44,492.5,0.59,4382.9,0.75,5605.5,0.7,716.82,70,353.83,35,218.76,5,64.0,16,32.38,10,29.58,1,18.28,3,0.0,0,667.06,68
https://www.bcr.ro/ro/business/general/finantare/supply-chain-finance/factoring,desktop,0.93,2028,AVERAGE,4,FAST,2932,AVERAGE,0.02,FAST,780.0,0.96,1460.0,0.82,0.012,1.0,79,0.99,32.5,1.0,1641.6,0.78,1259.0,1.0,844.19,92,431.49,51,275.06,6,68.77,21,21.04,10,29.56,1,18.28,3,0.0,0,814.63,91
